1   F30
2   F30
3   F30
4   F30
5   F30
6   F30
7   F30
8   F30
9   F30
10  F30
11  F30
12  F30
13  F30
14  F30
15  F30
16  F30
17  F30
18  F30
19  F30
20  F30
21  F30
22  F30
23  F30
24  F30
25  F30
26  F30
27  F30
28  F4
29  F4
30  F4
31  F4
32  F4
33  F4
34  F4
35  F4
36  F4
37  F4
38  F4
39  F4
40  F1
41  F1
42  F1
43  F1
44  F1
45  F1
46  F1
47  F1
48  F1
49  F1
50  F5
51  F5
52  F5
53  F5
54  F5
55  F5
56  F5
57  F5
58  F5
59  F32
60  F32
61  F32
62  F32
63  F32
64  F32
65  F32
66  F32
67  F32
68  F32
69  F32
70  F32
71  F32
72  F32
73  F32
74  F32
